ID,Gate,Criterion,Score (0-4),Confidence,Evidence,Caveat,Notes
G1-1,Gate 1,Claim typing,,,,,
G1-2,Gate 1,Method visibility,,,,,
G1-3,Gate 1,Hinge visibility,,,,,
G1-4,Gate 1,Reproducibility scaffolding,,,,,
G1-5,Gate 1,Falsification readiness,,,,,
G1-6,Gate 1,Scope discipline,,,,,
G1-7,Gate 1,Review-worthiness,,,,,
G2-8,Gate 2,Novelty signal,,,,,
G2-9,Gate 2,Domain relevance,,,,,
G2-10,Gate 2,Prior-art awareness,,,,,
G2-11,Gate 2,Cross-domain relevance,,,,,
G2-12,Gate 2,Specificity of contribution,,,,,
G3-13,Gate 3,Upside magnitude,,,,,
G3-14,Gate 3,Partial-hold value,,,,,
G3-15,Gate 3,Salvage value,,,,,
G3-16,Gate 3,Reusability of artifacts,,,,,
G3-17,Gate 3,Strategic importance of inspection,,,,,
